"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","opt","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-relative-C50-budget",0.176300773860705,0.18459260533104,0.18384505588994,0.154209802235598,0.163313327601032,0.162970593293207,0.170447635425623,0.174977987962167,0.170692003439381,250,"greedy","bitVector","L50","relative","C50","oplib"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-absolute-C10-budget",0.831189251439539,0.842491362763915,0.842317850287908,0.807000383877159,0.863019577735125,0.86176660268714,0.733534740882917,0.831853358925144,0.830009213051823,250,"greedy","bitVector","L10","absolute","C10","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-absolute-C25-budget",0.412340882917466,0.414070633397313,0.409202303262956,0.410556621880998,0.433650671785029,0.420713243761996,0.322307101727447,0.381065642994242,0.351309788867562,250,"greedy","bitVector","L10","absolute","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-absolute-C5-budget",0.909328214971209,0.908190403071017,0.907592322456814,0.923471785028791,0.933113243761996,0.931785796545106,0.882346257197697,0.898350863723608,0.892476775431862,250,"greedy","bitVector","L10","absolute","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-absolute-C50-budget",0.824909788867562,0.835419577735125,0.834125143953935,0.757169289827255,0.83855585412668,0.829473320537428,0.726627255278311,0.799018809980806,0.776189635316699,250,"greedy","bitVector","L10","absolute","C50","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-relative-C10-budget",0.631382725527831,0.657086372360845,0.651490211132438,0.574362380038388,0.673759692898273,0.6594556621881,0.458604990403071,0.627643761996161,0.605049520153551,250,"greedy","bitVector","L10","relative","C10","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-relative-C25-budget",0.66510556621881,0.683633781190019,0.679814203454895,0.626410748560461,0.68990019193858,0.678051439539347,0.510657965451056,0.658482917466411,0.645935508637236,250,"greedy","bitVector","L10","relative","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-relative-C5-budget",0.80436084452975,0.806559692898273,0.806910556621881,0.808596545105566,0.828415355086372,0.82646142034549,0.665802687140115,0.803397312859885,0.80347792706334,250,"greedy","bitVector","L10","relative","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L10-relative-C50-budget",0.647299040307102,0.652153550863724,0.653912476007677,0.640677159309021,0.652159692898272,0.640488291746641,0.525857965451056,0.592671017274472,0.545759692898273,250,"greedy","bitVector","L10","relative","C50","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-absolute-C10-budget",0.499286756238004,0.531147024952015,0.526163531669866,0.438016122840691,0.533110172744722,0.518514395393474,0.367737428023033,0.491424184261037,0.467278310940499,250,"greedy","bitVector","L25","absolute","C10","Leipzig"
