instance,ea,vns,gsr,opt
LGF-Berlin-50-80000-1-greedy-bitVector-high,0.300377805552693,0.300214041888581,0.299706587652397,250
LGF-Berlin-50-80000-1-greedy-bitVector-low,0.270916930212368,0.27456496171163,0.274303675953056,250
LGF-Berlin-50-80000-1-gsr-bitVector-high,0.299421529436576,0.300203555780151,0.298906818064365,250
LGF-Berlin-50-80000-1-gsr-bitVector-low,0.269978453658942,0.274637960879523,0.274946512329184,250
LGF-Berlin-50-80000-1-random1-bitVector-high,0.300230794507287,0.300091245668355,0.299938731827332,250
LGF-Berlin-50-80000-1-random1-bitVector-low,0.273048707835887,0.274575978587147,0.273494756652851,250
LGF-Berlin-50-80000-1-random2-bitVector-high,0.300310463139681,0.30024354828063,0.298545816993652,250
LGF-Berlin-50-80000-1-random2-bitVector-low,0.273843638026058,0.274611739420707,0.273776757343968,250
LGF-Berlin-50-80000-2-ea-bitVector-high,0.296715365214555,0.331039381333353,0.288739125889801,250
LGF-Berlin-50-80000-2-ea-bitVector-low,0.279374980697064,0.30480370411181,0.27917685422538,250
LGF-Berlin-50-80000-2-greedy-bitVector-high,0.299224467721613,0.331159294604746,0.328403259333623,250
LGF-Berlin-50-80000-2-greedy-bitVector-low,0.273294097402982,0.304749918743841,0.304775520101666,250
LGF-Berlin-50-80000-2-gsr-bitVector-high,0.329868691710992,0.330997130364897,0.329464066660788,250
LGF-Berlin-50-80000-2-gsr-bitVector-low,0.304935831349453,0.304830452618346,0.304941273526324,250
LGF-Berlin-50-80000-2-random1-bitVector-high,0.296514117553764,0.331014434995212,0.329478751613738,250
LGF-Berlin-50-80000-2-random1-bitVector-low,0.27316723252241,0.30482592155876,0.304941273526324,250
LGF-Berlin-50-80000-2-random2-bitVector-high,0.295681579719877,0.331075980262473,0.324862765692021,250
LGF-Berlin-50-80000-2-random2-bitVector-low,0.272224520903484,0.304816855790282,0.296130078891885,250
LGF-Berlin-50-80000-3-ea-bitVector-high,0.373285925954587,0.396289708254437,0.373841838994077,250
LGF-Berlin-50-80000-3-ea-bitVector-low,0.360457527363499,0.360040831489814,0.356857731190606,250
LGF-Berlin-50-80000-3-greedy-bitVector-high,0.367820406087433,0.396436419141141,0.369384377147758,250
LGF-Berlin-50-80000-3-greedy-bitVector-low,0.35620414385429,0.359899762811427,0.347696930975873,250
LGF-Berlin-50-80000-3-gsr-bitVector-high,0.368929547303098,0.396316119126908,0.369486654769936,250
LGF-Berlin-50-80000-3-gsr-bitVector-low,0.348643802349319,0.359940001746123,0.36046465006616,250
LGF-Berlin-50-80000-3-random1-bitVector-high,0.373241749383748,0.39642880470728,0.366995523533866,250
LGF-Berlin-50-80000-3-random1-bitVector-low,0.351738433902275,0.359813917528448,0.339959329780886,250
LGF-Berlin-50-80000-3-random2-bitVector-high,0.368350340994238,0.395876836092256,0.390733641169401,250
LGF-Berlin-50-80000-3-random2-bitVector-low,0.347127363552965,0.359761475907263,0.354898565249221,250
LGF-brazil58-gen4-45.oplib-11428-ea-bitVector-high,0.697544053655489,0.704779841674942,0.699940983571969,250
LGF-brazil58-gen4-45.oplib-11428-ea-bitVector-low,0.693467473480035,0.70366639493686,0.700814345444206,250
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-high,0.692689510477191,0.703381587740884,0.683294181038825,250
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-low,0.694512618000305,0.705413069684576,0.678694062286977,250
LGF-brazil58-gen4-45.oplib-11428-gsr-bitVector-high,0.698756789106167,0.704845075967526,0.69876574429506,250
LGF-brazil58-gen4-45.oplib-11428-gsr-bitVector-low,0.702327986681941,0.7057570414229,0.702454498426446,250
LGF-brazil58-gen4-45.oplib-11428-random1-bitVector-high,0.689092530561429,0.703677870521116,0.673660245052834,250
LGF-brazil58-gen4-45.oplib-11428-random1-bitVector-low,0.690757380463288,0.709038292316105,0.686227996033778,250
LGF-brazil58-gen4-45.oplib-11428-random2-bitVector-high,0.687866394175735,0.704380468540476,0.673395938408404,250
LGF-brazil58-gen4-45.oplib-11428-random2-bitVector-low,0.687463087966147,0.707057212127165,0.670104752721169,250
LGF-gr120-gen4-85.oplib-5901-ea-bitVector-high,0.956221427913569,0.965128749621082,0.927888612277387,250
LGF-gr120-gen4-85.oplib-5901-ea-bitVector-low,0.960268224842789,0.964998644330392,0.930058520915712,250
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-high,0.95901745960795,0.965575820597168,0.921914633410367,250
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-low,0.958358164957732,0.96499373594794,0.920096113618215,250
LGF-gr120-gen4-85.oplib-5901-gsr-bitVector-high,0.964513018470676,0.965454763418698,0.939534872285379,250
LGF-gr120-gen4-85.oplib-5901-gsr-bitVector-low,0.964876970344564,0.966141001280352,0.941275460779245,250
LGF-gr120-gen4-85.oplib-5901-random1-bitVector-high,0.957359488227117,0.965242464633979,0.931491930657553,250
LGF-gr120-gen4-85.oplib-5901-random1-bitVector-low,0.954884390239972,0.965667560709417,0.931141274464678,250
LGF-gr120-gen4-85.oplib-5901-random2-bitVector-high,0.954275587196345,0.965402440452346,0.923550822460598,250
LGF-gr120-gen4-85.oplib-5901-random2-bitVector-low,0.953515216248037,0.966419623233081,0.92367023592597,250
LGF-gr48-gen4-80.oplib-4037-ea-bitVector-high,0.937261643519879,0.941926933115086,0.91112962630282,250
LGF-gr48-gen4-80.oplib-4037-ea-bitVector-low,0.93875573280541,0.941705024633091,0.91368358062245,250
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-high,0.937105401442474,0.940363072363074,0.918259791383863,250
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-low,0.937543340261276,0.942547382547765,0.920518901090446,250
LGF-gr48-gen4-80.oplib-4037-gsr-bitVector-high,0.936796360428858,0.939312431975449,0.889519334975415,250
LGF-gr48-gen4-80.oplib-4037-gsr-bitVector-low,0.937343382792091,0.940566325450005,0.888834410749666,250
LGF-gr48-gen4-80.oplib-4037-random1-bitVector-high,0.936172511552808,0.942585178170879,0.931477651613628,250
LGF-gr48-gen4-80.oplib-4037-random1-bitVector-low,0.93728096399667,0.940953483283852,0.93247849702904,250
LGF-gr48-gen4-80.oplib-4037-random2-bitVector-high,0.936645340257072,0.940210219910393,0.924723428904378,250
LGF-gr48-gen4-80.oplib-4037-random2-bitVector-low,0.937476803783181,0.94209130452854,0.924304690937544,250
LGF-hk48-gen4-80.oplib-9169-ea-bitVector-high,0.896170880623766,0.901978880655638,0.897169720556214,250
LGF-hk48-gen4-80.oplib-9169-ea-bitVector-low,0.897706526864092,0.903094546005046,0.894839360049138,250
LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-high,0.899188440216236,0.901932571979087,0.881431160977616,250
LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-low,0.898406197033984,0.903093933634251,0.879047783694864,250
LGF-hk48-gen4-80.oplib-9169-gsr-bitVector-high,0.901371293306208,0.901963906440878,0.893365353421273,250
LGF-hk48-gen4-80.oplib-9169-gsr-bitVector-low,0.903095325394088,0.903064908425808,0.897071182887139,250
LGF-hk48-gen4-80.oplib-9169-random1-bitVector-high,0.895991383664047,0.901953654221245,0.890022076771349,250
LGF-hk48-gen4-80.oplib-9169-random1-bitVector-low,0.896727535831794,0.903098531185695,0.892366890089071,250
LGF-hk48-gen4-80.oplib-9169-random2-bitVector-high,0.898598930160951,0.901981531322451,0.888138017920307,250
LGF-hk48-gen4-80.oplib-9169-random2-bitVector-low,0.897150536318734,0.903067485410096,0.8903379550594,250
LGF-Leipzig-100-80000-1-ea-bitVector-high,0.842941108134923,0.870188509296318,0.793159386411851,250
LGF-Leipzig-100-80000-1-ea-bitVector-low,0.842118073428022,0.858995306828598,0.786646840367949,250
LGF-Leipzig-100-80000-1-greedy-bitVector-high,0.847605260628728,0.867841672746168,0.827651223674413,250
LGF-Leipzig-100-80000-1-greedy-bitVector-low,0.844542796798717,0.852864870350234,0.828381869758582,250
LGF-Leipzig-100-80000-1-gsr-bitVector-high,0.855230442679595,0.870989317769664,0.816109541870372,250
LGF-Leipzig-100-80000-1-gsr-bitVector-low,0.841417905650993,0.853786938055946,0.804865690500508,250
LGF-Leipzig-100-80000-1-random1-bitVector-high,0.84093887110392,0.871390450846342,0.777469303978203,250
LGF-Leipzig-100-80000-1-random1-bitVector-low,0.840230689902183,0.857112901041889,0.77855986556763,250
LGF-Leipzig-100-80000-1-random2-bitVector-high,0.839478250928058,0.872805398031006,0.766850150454801,250
LGF-Leipzig-100-80000-1-random2-bitVector-low,0.835627819690854,0.852285058961926,0.774759874960053,250
LGF-Leipzig-100-80000-2-ea-bitVector-high,0.823619512208768,0.832255525621382,0.784223373469526,250
LGF-Leipzig-100-80000-2-ea-bitVector-low,0.813359417345162,0.825670118558945,0.781969487256467,250
LGF-Leipzig-100-80000-2-greedy-bitVector-high,0.823360624478953,0.833004272903059,0.779072839011086,250
LGF-Leipzig-100-80000-2-greedy-bitVector-low,0.816744310133398,0.824972967619506,0.766552890890045,250
LGF-Leipzig-100-80000-2-gsr-bitVector-high,0.823789177162419,0.833170383018648,0.777781216640322,250
LGF-Leipzig-100-80000-2-gsr-bitVector-low,0.815068463510434,0.827510257885666,0.780453749611993,250
LGF-Leipzig-100-80000-2-random1-bitVector-high,0.817755879916049,0.832195304883469,0.766915138751427,250
LGF-Leipzig-100-80000-2-random1-bitVector-low,0.815354717589772,0.8262495546441,0.762552088717345,250
LGF-Leipzig-100-80000-2-random2-bitVector-high,0.819000442887447,0.83315840392648,0.762260940811231,250
LGF-Leipzig-100-80000-2-random2-bitVector-low,0.805278111569979,0.826036365851316,0.752704640853776,250
LGF-Leipzig-100-80000-3-ea-bitVector-high,0.858925858647507,0.875707293485533,0.819126949994576,250
LGF-Leipzig-100-80000-3-ea-bitVector-low,0.853120740913287,0.876536254979148,0.83735375368123,250
